equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
1542,EQ ID 1542,"Gage (Go/No Go), Drill Diameter, Laminate",Toilet Partitions,7253,09/12/2023,1. Prod Stopped,"The back sensor on the Gannomat might be lose, we are having issue when activating the drilling machine.",Closed Without Action,0,0.2,Mike Max,0,09/15/2023 12:00 AM,Miguel Diaz - 09/15/23  1:59:23 PM: Please enter work order for correct machine check the 1040 gannomatt found nothing wrong with the machine sensors or drilling the parts are or door they showed was the issue .we drilled the door the had issues with and had no issues .Found no Loose sensors .,[]
1561,EQ ID 1561,Step Drill 1080/1090 CNC Drilling Machine,Toilet Partitions,15190,03/27/2025,1. Prod Stopped,Ganomat CNC drilling machine on 3/4 cell keeps on freezing every 20mins Grabiel can you please check it out,Closed and Completed,0,0.1,G Shinobi,0.1,03/26/2025 03:00 PM,"Gabriel Shinobi - 03/27/25  3:03:56 PM: checked on gannomat, deleted old programs, Freed up 50GB+ of memory. Recommended to lead to open ticket with IT. PC might require more RAM modules.",[]
1563,EQ ID 1563,Step Drill & Stop Phenolic Series Insert,Toilet Partitions,18060,12/30/2025,1. Prod Stopped,"air leak on Insert driver hose on the 
 3/4 sell",Closed and Completed,0,0.5,Shinobi,0,12/31/2025 07:00 AM,Gabriel Shinobi - 12/31/25  7:01:51 AM: Replaced air hose. working normally.,[]
1568,EQ ID 1568,CNC Drill Setup Gage-1040,Toilet Partitions,1218,04/26/2022,"3. Prod Affected, Not Stopped",CNC not able to start up.,Closed Without Action,0,0,Mike Bart Matt IT Atkins machinery,0,04/26/2022 12:00 AM,Miguel Diaz - 04/26/22 10:16:41 AM: closing this work order wrong machine i want the correct notes to be in the correct machine .,[]
1568,EQ ID 1568,CNC Drill Setup Gage-1040,Toilet Partitions,18401,02/09/2026,1. Prod Stopped,We are having issue with the sensors not reading the component. When time permits could we please take a look at this.,Closed and Completed,0,0.2,Shinobi,0,02/09/2026 08:00 AM,Gabriel Shinobi - 02/09/26 11:05:39 AM: replaced all sensors working normally,[]
1569,EQ ID 1569,CNC Drill Setup Gage-1080,Toilet Partitions,4086,01/23/2023,1. Prod Stopped,"CNC is not responding drill will not active, we have reset it 2 times and no luck.",Closed and Completed,0,0.1,Mike,0,01/23/2023 12:00 AM,Miguel Diaz - 01/23/23  8:05:39 AM: Machine was not home this happens if the machine was not turned off correctly or was manually moved .Machine is back up and running .,[]
1569,EQ ID 1569,CNC Drill Setup Gage-1080,Toilet Partitions,4234,02/02/2023,2. General Maint - High Priority,"the 2nd to last censor is not activating, could we have you guys take a look at it please. this is in the 3/4"" cell",Closed Without Action,0,0,md,0,02/02/2023 12:00 AM,Miguel Diaz - 02/02/23 11:47:16 AM: Wrong machine ID,[]
1569,EQ ID 1569,CNC Drill Setup Gage-1080,Toilet Partitions,14411,01/20/2025,1. Prod Stopped,The Gannomatt is drilling one side a bit deeper the table might be uneven. When time permits could we have you take a look at this please.,Closed and Completed,0,2,Mike Juan,2,01/20/2025 12:00 AM,Miguel Diaz - 01/20/25 12:04:53 PM: Troubleshoot found loose set screw on top replaced screw and still getting uneven holes depth .Measured material thickness its at 7.3 when it should be at 7.5 material is within the tolerance but will give different  hole depth if drill is not adjusted. Also found that the drills do not have the same point on each end one point is higher than the other making it give different hole depths .Open attachment to view picture of the drills left side has two uneven point edges and the drill on the right are even .Lead was present .,"[{""name"": ""1080 uneven drills depth 1-20-25.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/715?guid=c62ffa5b-969d-47b3-bd34-ed25b9bebf18""}]"
1569,EQ ID 1569,CNC Drill Setup Gage-1080,Toilet Partitions,15278,04/03/2025,1. Prod Stopped,The air hose is leaking.,Closed and Completed,10,0.3,Max,0,04/03/2025 02:00 PM,Maksim Bushka - 04/03/25  2:24:22 PM: Replaced the air hose fitting.,[]
1584,EQ ID 1584,Pinch Roller (Heated),Toilet Partitions,1399,05/16/2022,1. Prod Stopped,"The table before the heat rollers stopped working, we press the button to turn on and it doesn't work . We are having to push the pieces thru by hand .",Closed Without Action,0,0,Bart,0,05/16/2022 07:00 AM,Barton Lea - 05/16/22  6:50:40 AM: Operator fixed,[]
1584,EQ ID 1584,Pinch Roller (Heated),Toilet Partitions,5866,06/02/2023,"5. Prod Ongoing, Maint Required",While working on the 1540 door notcher i see a red dot pointing at my direction when i look back i see no one .,Closed and Completed,0,0.3,Mike Diaz,0,06/02/2023 12:00 AM,Miguel Diaz - 06/02/23  9:11:53 AM: I look for the source of the light and find it coming from the infeed table of the heated roller machine .I asked the operators and  they advised they hit something  moving a panel  they couldn't figure out why the table wouldn't move with the pedal .I adjusted sensor (red dot) to be in the center of the reflector .It  was  pointing 10 inches to the right to far . | Miguel Diaz - 06/02/23  9:11:33 AM: I look for the source of the light and find it coming from the infeed table of the heated roller machine .I asked the operators and  they advised they hit something  moving a panel  they couldn't figure out why the table wouldn't move with the pedal .I adjusted sensor (red dot) to be in the center of the reflector .It  was  pointing 10 inches to the right to far .,[]
1623,EQ ID 1623,1/2 Pop-up table made in house,Toilet Partitions,5780,05/23/2023,"3. Prod Affected, Not Stopped",One of the air hoses on the pop cylinder broke and leaking air.,Closed and Completed,0,0.2,PU & Max,0,05/23/2023 12:00 AM,Primo Uy - 05/23/23  2:37:12 PM: Replaced broken air hose. air leak is gone.,[]
1623,EQ ID 1623,1/2 Pop-up table made in house,Toilet Partitions,6354,07/07/2023,6. General Maint,Lead advised he can hear air leaking from under the table,Closed and Completed,10,0.2,Mike Max,0,07/07/2023 12:00 AM,Miguel Diaz - 07/07/23  9:51:09 AM: Repaired damaged air line,[]
1647,EQ ID 1647,Solid Cell,Toilet Partitions,19271,05/01/2026,1. Prod Stopped,"Hello Team, When time permits could you guys give is a hand on fixing the position of the camara above the gannomat please. See aatached.",Closed and Completed,0,0.5,Shinobi,0,04/30/2026 12:00 AM,Gabriel Shinobi - 05/04/26 11:43:40 AM: adjusted camera,"[{""name"": ""Screenshot 2026-05-01 065814.png 5.1.26.png"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/957?guid=f346f225-609c-4afe-b007-4d59e10de00a""}]"
